"dorsal_fin_number","dorsal_fin_percentage","adipos_fin_number","adipos_fin_percentage","caudal_fin_number","caudal_fin_percentage","anal_fin_number","anal_fin_percentage","pelvic_fin_number","pelvic_fin_percentage","pectoral_fin_number","pectoral_fin_percentage","head_number","head_percentage","eye_number","eye_percentage","caudal_fin_ray_number","caudal_fin_ray_percentage","alt_fin_ray_number","alt_fin_ray_percentage","trunk_number","trunk_percentage"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.983887376319809
1,1,0,0,1,1,1,1,2,0.914184648036788,1,1,1,1,1,1,0,0,0,0,1,1
1,1,2,0.74331550802139,1,1,1,1,1,1,1,1,1,1,2,0.994645588985212,0,0,0,0,1,1
1,1,0,0,1,1,3,0.996231747527084,2,0.808989427677042,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,2,0.995940460081191,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,2,0.950659006421088,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,2,0.796506215431795,1,1,1,1,0,0,0,0,2,0.989057246604205
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,2,0.52704186986512,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,3,0.723012876367509,1,1,1,1,1,1,0,0,0,0,2,0.987587299468732
1,1,0,0,2,0.999494438827098,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.99813160117192
1,1,2,0.982051282051282,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,2,0.907725321888412,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,2,0.685428290121431,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,2,0.751940158952782,2,0.831800262812089,1,1,1,1,0,0,0,0,1,1
1,1,0,0,2,0.999693744736238,1,1,2,0.508549953022236,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.988253258718351
1,1,0,0,1,1,3,0.875346260387812,2,0.573386435515989,2,0.91981845688351,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,2,0.999494566590852,3,0.899634082592786,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,3,0.975957383006121
1,1,0,0,2,0.999622023434547,5,0.807666442501681,2,0.509553317841467,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,2,0.966567502479105,1,1,1,1,1,1,0,0,0,0,2,0.988258259923142
1,1,3,0.776470588235294,1,1,1,1,2,0.931076178960097,1,1,2,0.999659701898863,1,1,0,0,0,0,1,1
1,1,1,1,2,0.999952841311012,1,1,3,0.668396663577386,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,4,0.999370817365441,1,1,2,0.604220980757294,1,1,1,1,1,1,0,0,0,0,2,0.999868548894096
1,1,0,0,1,1,2,0.999646975759002,2,0.822316161100014,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,3,0.833451788675669,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,2,0.999940647535389,2,0.990697674418605,2,0.535737619234287,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,2,0.864406779661017,2,0.624791001671987,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,0,0,4,0.697546862756916,1,1,1,1,1,1,0,0,0,0,1,1
1,1,3,0.986280487804878,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.994517616745959
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.971955594997632
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.975568669259793
1,1,0,0,1,1,1,1,1,1,3,0.872914622178606,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,2,0.591888842705303,1,1,1,1,1,1,0,0,0,0,2,0.992140489440679
1,1,3,0.755205992509363,1,1,3,0.97890625,2,0.647599435609961,1,1,1,1,1,1,0,0,0,0,1,1
1,1,3,0.978244561140285,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.999791634109496
1,1,0,0,1,1,1,1,2,0.996478769048676,3,0.599437647237632,1,1,1,1,0,0,0,0,2,0.998248226061382
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.990477844346039
1,1,8,0.33,1,1,3,0.988744588744589,4,0.535968308274061,3,0.974513749161636,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,2,0.542607428987618,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,2,0.986277873070326,3,0.986536327925875,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,4,0.466009852216749,1,1,1,1,2,0.87972824091076,2,0.978903965095651,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,2,0.952167414050822,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,3,0.697214076246334,2,0.702836368400367,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.980960080914019
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,2,0.578124693945508,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.984126984126984
1,1,0,0,1,1,1,1,1,1,2,0.992264182332391,1,1,1,1,0,0,0,0,1,1
1,1,5,0.290909090909091,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
2,0.999850990910445,1,1,1,1,1,1,2,0.955152273675428,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,3,0.989316239316239,1,1,0,0,3,0.948931829092655,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,2,0.866057176026702,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
2,0.993844432008954,2,0.949873417721519,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,2,0.998051315362131,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,2,0.952725250278087,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,2,0.912472647702407,1,1,1,1,1,1,2,0.862659908279025,1,1,1,1,0,0,0,0,1,1
1,1,0,0,3,0.996583092966497,1,1,1,1,2,0.565061475409836,1,1,1,1,0,0,0,0,1,1
1,1,3,0.919573643410853,1,1,1,1,2,0.626225963394857,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,2,0.999650324698494,1,1,2,0.94804563141139,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.976222663521631
1,1,1,1,1,1,2,0.996368250634462,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.98770592981776
1,1,2,0.96529284164859,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.988685238081124
1,1,0,0,1,1,2,0.997043606799704,1,1,2,0.99932287552195,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.999357713297758
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,2,0.584048460373549,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,3,0.806587245970568,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,2,0.818327974276527,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.983732309340305
1,1,0,0,2,0.999556089408816,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,2,0.522388059701492,1,1,1,1,2,0.961591672705712,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,2,0.996978149697815,1,1,1,1,0,0,0,0,2,0.979126749436083
1,1,1,1,1,1,1,1,2,0.825726744186047,2,0.75152061275062,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.985614253526114
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.978773172522857
1,1,0,0,1,1,1,1,1,1,2,0.569046378322043,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.970656786876701
1,1,0,0,1,1,0,0,2,0.523258623003624,1,1,1,1,1,1,0,0,0,0,2,0.976485524789713
1,1,0,0,1,1,2,0.996649083362158,1,1,1,1,1,1,1,1,0,0,0,0,2,0.959336042452121
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.995508721707957
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.974805555231643
1,1,2,0.98531684698609,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,2,0.985567382283962,1,1,1,1,0,0,0,0,1,1
1,1,0,0,2,0.999907566218534,1,1,2,0.580240002798866,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.964336010578528
1,1,0,0,2,0.999124828091232,1,1,2,0.897654155495979,1,1,1,1,1,1,0,0,0,0,2,0.969457136910131
1,1,1,1,2,0.999830501292428,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,2,0.994624222620428,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,3,0.89862398202752,1,1,1,1,0,0,0,0,2,0.999356127651005
1,1,0,0,1,1,2,0.986679352997146,2,0.880475504322767,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.990033911186086
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,2,0.702376125212878,1,1,1,1,0,0,0,0,2,0.978495721528233
1,1,1,1,2,0.999960852629725,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,3,0.992672250874819
1,1,1,1,1,1,1,1,1,1,3,0.93621867881549,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.980319401625355
1,1,0,0,1,1,1,1,1,1,2,0.89424675756568,1,1,1,1,0,0,0,0,2,0.97350054525627
1,1,1,1,1,1,1,1,2,0.558818666867062,1,1,1,1,1,1,0,0,0,0,2,0.987350802628044
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,2,0.974514285714286,1,1,1,1,0,0,0,0,1,1
2,0.999634442799437,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,2,0.99976123204266,2,0.842195052601649,1,1,1,1,1,1,0,0,0,0,2,0.988380166886042
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,2,0.828917108289171,1,1,1,1,1,1,0,0,0,0,2,0.991700091004078
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,2,0.557262021589794,1,1,1,1,1,1,0,0,0,0,2,0.976894023550322
1,1,0,0,1,1,0,0,2,0.635429262394196,1,1,1,1,2,0.98532055122828,0,0,0,0,2,0.993657165351711
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,2,0.996606218504679,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.988243857733577
1,1,0,0,2,0.999869991419434,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.976633060070955
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.972422675344594
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,2,0.998754497647384,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,2,0.875776397515528,1,1,1,1,1,1,2,0.979480250133551,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,2,0.747777017783858,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.975890178727088
1,1,0,0,3,0.999061459723424,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,3,0.999188814174405,1,1,2,0.969918308505526,1,1,1,1,1,1,0,0,0,0,2,0.991917579075426
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.981304071383156
1,1,7,0.396694214876033,1,1,1,1,2,0.760261133734083,1,1,1,1,1,1,0,0,0,0,1,1
1,1,5,0.965718857705564,2,0.999510170409137,1,1,4,0.972797356828194,1,1,1,1,1,1,0,0,0,0,2,0.977304270135974
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,3,0.984409977614327,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,3,0.718160574194625,2,0.993360125808143,1,1,1,1,0,0,0,0,2,0.957200542896403
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,2,0.998708844415752,1,1,1,1,1,1,1,1,0,0,0,0,2,0.989676599003137
1,1,2,0.997587454764777,1,1,5,0.911196911196911,2,0.660428336079077,2,0.986219081272085,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,2,0.999687581359021,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,0,0,2,0.593832760037746,0,0,1,1,1,1,0,0,0,0,1,1
1,1,3,0.5,1,1,4,0.643312101910828,2,0.633876841582519,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,2,0.64571743597454,1,1,1,1,1,1,0,0,0,0,2,0.980145274493623
1,1,2,0.529911624745071,1,1,0,0,2,0.687694305615678,1,1,1,1,1,1,0,0,0,0,2,0.991856505859008
1,1,1,1,1,1,1,1,2,0.994851994851995,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.981042642085687
1,1,0,0,2,0.999629198465054,1,1,1,1,2,0.871792742672092,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,2,0.955869308101715,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,3,0.928659286592866,1,1,0,0,2,0.700240818783865,1,1,1,1,1,1,0,0,0,0,2,0.986293241124672
1,1,0,0,1,1,1,1,2,0.828389034923019,1,1,1,1,1,1,0,0,0,0,2,0.990851192307254
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,2,0.693082946635731,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,3,0.988083280843023,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,2,0.99752020573108,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,2,0.928883548175661,1,1,1,1,1,1,0,0,0,0,2,0.985897953875019
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,3,0.998883028234564,2,0.661518381553187,1,1,1,1,1,1,0,0,0,0,1,1
2,0.996354003898984,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,2,0.997663303239511,2,0.996660673002826,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.982083727694866
1,1,2,0.995016611295681,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,2,0.937173882386123,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,3,0.8674467341949,2,0.518559197224233,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,3,0.827508223684211,3,0.861931985935529,1,1,1,1,0,0,0,0,2,0.999576302822159
1,1,0,0,1,1,1,1,2,0.971537605342662,1,1,1,1,1,1,0,0,0,0,2,0.984569979612403
1,1,0,0,1,1,1,1,3,0.934583452619525,2,0.763932270261384,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,4,0.974229691876751,2,0.558631313602838,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,2,0.791029966263147,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.966565684384467
1,1,0,0,4,0.999519492584169,2,0.999546639465035,2,0.561497437606766,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,2,0.906651221160344,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,2,0.989794591783671,1,1,1,1,0,0,0,0,3,0.969494772724445
1,1,2,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
